CustomerID,Cluster,Segment
12347.0,1,Low-Value Segment
12348.0,1,Low-Value Segment
12349.0,2,Potential Loyalist
12350.0,1,Low-Value Segment
12352.0,1,Low-Value Segment
12353.0,1,Low-Value Segment
12354.0,2,Potential Loyalist
12355.0,1,Low-Value Segment
12356.0,3,High-Value Segment
12357.0,3,High-Value Segment
12358.0,0,At-Risk Customer
12359.0,1,Low-Value Segment
12360.0,2,Potential Loyalist
12361.0,1,Low-Value Segment
12362.0,1,Low-Value Segment
12363.0,1,Low-Value Segment
12364.0,0,At-Risk Customer
12365.0,1,Low-Value Segment
12367.0,0,At-Risk Customer
12370.0,2,Potential Loyalist
12371.0,2,Potential Loyalist
12372.0,1,Low-Value Segment
12373.0,1,Low-Value Segment
12374.0,0,At-Risk Customer
12375.0,0,At-Risk Customer
12377.0,1,Low-Value Segment
12379.0,0,At-Risk Customer
12380.0,0,At-Risk Customer
12381.0,2,Potential Loyalist
12383.0,1,Low-Value Segment
12384.0,0,At-Risk Customer
12386.0,1,Low-Value Segment
12388.0,1,Low-Value Segment
12390.0,0,At-Risk Customer
12391.0,2,Potential Loyalist
12393.0,1,Low-Value Segment
12394.0,1,Low-Value Segment
12395.0,1,Low-Value Segment
12397.0,2,Potential Loyalist
12398.0,2,Potential Loyalist
12399.0,1,Low-Value Segment
12401.0,1,Low-Value Segment
12402.0,1,Low-Value Segment
12403.0,0,At-Risk Customer
12405.0,2,Potential Loyalist
12406.0,2,Potential Loyalist
12407.0,1,Low-Value Segment
12408.0,1,Low-Value Segment
12410.0,1,Low-Value Segment
12412.0,0,At-Risk Customer
12413.0,1,Low-Value Segment
12414.0,1,Low-Value Segment
12415.0,3,High-Value Segment
12417.0,1,Low-Value Segment
12418.0,0,At-Risk Customer
12420.0,0,At-Risk Customer
12421.0,1,Low-Value Segment
12422.0,1,Low-Value Segment
12423.0,1,Low-Value Segment
12424.0,0,At-Risk Customer
12425.0,0,At-Risk Customer
12426.0,0,At-Risk Customer
12427.0,1,Low-Value Segment
12428.0,2,Potential Loyalist
12429.0,1,Low-Value Segment
12430.0,0,At-Risk Customer
12431.0,1,Low-Value Segment
12432.0,2,Potential Loyalist
12433.0,2,Potential Loyalist
12434.0,1,Low-Value Segment
12435.0,1,Low-Value Segment
12436.0,0,At-Risk Customer
12437.0,1,Low-Value Segment
12438.0,2,Potential Loyalist
12441.0,1,Low-Value Segment
12442.0,0,At-Risk Customer
12444.0,2,Potential Loyalist
12445.0,0,At-Risk Customer
12446.0,2,Potential Loyalist
12447.0,1,Low-Value Segment
12448.0,0,At-Risk Customer
12449.0,2,Potential Loyalist
12450.0,0,At-Risk Customer
12451.0,3,High-Value Segment
12452.0,0,At-Risk Customer
12453.0,2,Potential Loyalist
12454.0,0,At-Risk Customer
12456.0,1,Low-Value Segment
12457.0,1,Low-Value Segment
12458.0,1,Low-Value Segment
12461.0,0,At-Risk Customer
12462.0,1,Low-Value Segment
12463.0,1,Low-Value Segment
12464.0,1,Low-Value Segment
12465.0,0,At-Risk Customer
12468.0,1,Low-Value Segment
12471.0,1,Low-Value Segment
12472.0,1,Low-Value Segment
12473.0,0,At-Risk Customer
12474.0,1,Low-Value Segment
12475.0,0,At-Risk Customer
12476.0,1,Low-Value Segment
12477.0,1,Low-Value Segment
12478.0,0,At-Risk Customer
12479.0,0,At-Risk Customer
12480.0,1,Low-Value Segment
12481.0,1,Low-Value Segment
12483.0,1,Low-Value Segment
12484.0,2,Potential Loyalist
12488.0,0,At-Risk Customer
12489.0,1,Low-Value Segment
12490.0,1,Low-Value Segment
12491.0,0,At-Risk Customer
12492.0,0,At-Risk Customer
12493.0,1,Low-Value Segment
12494.0,1,Low-Value Segment
12497.0,0,At-Risk Customer
12498.0,0,At-Risk Customer
12500.0,1,Low-Value Segment
12501.0,2,Potential Loyalist
12502.0,1,Low-Value Segment
12503.0,1,Low-Value Segment
12504.0,0,At-Risk Customer
12505.0,1,Low-Value Segment
12506.0,1,Low-Value Segment
12507.0,1,Low-Value Segment
12508.0,0,At-Risk Customer
12509.0,1,Low-Value Segment
12510.0,1,Low-Value Segment
12512.0,0,At-Risk Customer
12513.0,0,At-Risk Customer
12514.0,2,Potential Loyalist
12515.0,1,Low-Value Segment
12516.0,0,At-Risk Customer
12517.0,2,Potential Loyalist
12518.0,0,At-Risk Customer
12519.0,0,At-Risk Customer
12520.0,2,Potential Loyalist
12521.0,0,At-Risk Customer
12522.0,0,At-Risk Customer
12523.0,1,Low-Value Segment
12524.0,1,Low-Value Segment
12526.0,0,At-Risk Customer
12527.0,1,Low-Value Segment
12528.0,1,Low-Value Segment
12530.0,1,Low-Value Segment
12531.0,0,At-Risk Customer
12532.0,0,At-Risk Customer
12534.0,2,Potential Loyalist
12535.0,0,At-Risk Customer
12538.0,0,At-Risk Customer
12539.0,2,Potential Loyalist
12540.0,1,Low-Value Segment
12541.0,1,Low-Value Segment
12544.0,0,At-Risk Customer
12545.0,1,Low-Value Segment
12546.0,0,At-Risk Customer
12547.0,1,Low-Value Segment
12548.0,0,At-Risk Customer
12550.0,2,Potential Loyalist
12551.0,1,Low-Value Segment
12552.0,0,At-Risk Customer
12553.0,1,Low-Value Segment
12556.0,2,Potential Loyalist
12557.0,1,Low-Value Segment
12558.0,0,At-Risk Customer
12559.0,1,Low-Value Segment
12560.0,2,Potential Loyalist
12561.0,1,Low-Value Segment
12562.0,0,At-Risk Customer
12564.0,1,Low-Value Segment
12565.0,1,Low-Value Segment
12566.0,0,At-Risk Customer
12567.0,3,High-Value Segment
12569.0,1,Low-Value Segment
