CustomerID,Cluster,Segment
12347.0,1,At-Risk Customer
12348.0,1,At-Risk Customer
12349.0,0,Potential Loyalist
12350.0,1,At-Risk Customer
12352.0,1,At-Risk Customer
12353.0,1,At-Risk Customer
12354.0,0,Potential Loyalist
12355.0,1,At-Risk Customer
12356.0,2,High-Value Segment
12357.0,2,High-Value Segment
12358.0,3,Low-Value Segment
12359.0,1,At-Risk Customer
12360.0,0,Potential Loyalist
12361.0,1,At-Risk Customer
12362.0,1,At-Risk Customer
12363.0,1,At-Risk Customer
12364.0,3,Low-Value Segment
12365.0,1,At-Risk Customer
12367.0,3,Low-Value Segment
12370.0,0,Potential Loyalist
12371.0,0,Potential Loyalist
12372.0,1,At-Risk Customer
12373.0,1,At-Risk Customer
12374.0,3,Low-Value Segment
12375.0,3,Low-Value Segment
12377.0,1,At-Risk Customer
12379.0,3,Low-Value Segment
12380.0,3,Low-Value Segment
12381.0,0,Potential Loyalist
12383.0,1,At-Risk Customer
12384.0,3,Low-Value Segment
12386.0,1,At-Risk Customer
12388.0,1,At-Risk Customer
12390.0,3,Low-Value Segment
12391.0,0,Potential Loyalist
12393.0,1,At-Risk Customer
12394.0,1,At-Risk Customer
12395.0,1,At-Risk Customer
12397.0,0,Potential Loyalist
12398.0,0,Potential Loyalist
12399.0,1,At-Risk Customer
12401.0,1,At-Risk Customer
12402.0,1,At-Risk Customer
12403.0,3,Low-Value Segment
12405.0,0,Potential Loyalist
12406.0,0,Potential Loyalist
12407.0,1,At-Risk Customer
12408.0,1,At-Risk Customer
12410.0,1,At-Risk Customer
12412.0,3,Low-Value Segment
12413.0,1,At-Risk Customer
12414.0,1,At-Risk Customer
12415.0,2,High-Value Segment
12417.0,1,At-Risk Customer
12418.0,3,Low-Value Segment
12420.0,3,Low-Value Segment
12421.0,1,At-Risk Customer
12422.0,1,At-Risk Customer
12423.0,1,At-Risk Customer
12424.0,3,Low-Value Segment
12425.0,3,Low-Value Segment
12426.0,3,Low-Value Segment
12427.0,1,At-Risk Customer
12428.0,0,Potential Loyalist
12429.0,1,At-Risk Customer
12430.0,3,Low-Value Segment
12431.0,1,At-Risk Customer
12432.0,0,Potential Loyalist
12433.0,0,Potential Loyalist
12434.0,1,At-Risk Customer
12435.0,1,At-Risk Customer
12436.0,3,Low-Value Segment
12437.0,1,At-Risk Customer
12438.0,0,Potential Loyalist
12441.0,1,At-Risk Customer
12442.0,3,Low-Value Segment
12444.0,0,Potential Loyalist
12445.0,3,Low-Value Segment
12446.0,0,Potential Loyalist
12447.0,1,At-Risk Customer
12448.0,3,Low-Value Segment
12449.0,0,Potential Loyalist
12450.0,3,Low-Value Segment
12451.0,2,High-Value Segment
12452.0,3,Low-Value Segment
12453.0,0,Potential Loyalist
12454.0,3,Low-Value Segment
12456.0,1,At-Risk Customer
12457.0,1,At-Risk Customer
12458.0,1,At-Risk Customer
12461.0,3,Low-Value Segment
12462.0,1,At-Risk Customer
12463.0,1,At-Risk Customer
12464.0,1,At-Risk Customer
12465.0,3,Low-Value Segment
12468.0,1,At-Risk Customer
12471.0,1,At-Risk Customer
12472.0,1,At-Risk Customer
12473.0,3,Low-Value Segment
12474.0,1,At-Risk Customer
12475.0,3,Low-Value Segment
12476.0,1,At-Risk Customer
12477.0,1,At-Risk Customer
12478.0,3,Low-Value Segment
12479.0,3,Low-Value Segment
12480.0,1,At-Risk Customer
12481.0,1,At-Risk Customer
12483.0,1,At-Risk Customer
12484.0,0,Potential Loyalist
12488.0,3,Low-Value Segment
12489.0,1,At-Risk Customer
12490.0,1,At-Risk Customer
12491.0,3,Low-Value Segment
12492.0,3,Low-Value Segment
12493.0,1,At-Risk Customer
12494.0,1,At-Risk Customer
